time,button,option,gain,cumul
10.0058012008667, 1, vulnérable, -4, -4
11.30716061592102, 2, antifragile, -9, -13
12.983878374099731, 3, fragile, 8, -5
14.247090816497803, 4, robuste, -8, -13
15.631103515625, 3, fragile, -4, -17
16.204763889312744, 3, fragile, -3, -20
17.434823751449585, 2, antifragile, -9, -29
18.141805171966553, 2, antifragile, 4, -25
18.833939790725708, 2, antifragile, 4, -21
19.529747247695923, 2, antifragile, 3, -18
20.426059246063232, 1, vulnérable, 3, -15
21.727344751358032, 1, vulnérable, -4, -19
22.548891305923462, 1, vulnérable, 3, -16
23.36095356941223, 1, vulnérable, -4, -20
23.914942979812622, 1, vulnérable, 3, -17
25.658225774765015, 3, fragile, 8, -9
26.80851697921753, 3, fragile, 8, -1
27.186156749725342, 3, fragile, 8, 7
27.653130531311035, 3, fragile, 8, 15
27.83358144760132, 3, fragile, -3000, -2985
27.83409810066223, 3, fragile, -3, -2988
28.02825689315796, 3, fragile, -4, -2992
28.02867603302002, 3, fragile, 8, -2984
28.19267177581787, 3, fragile, 9, -2975
28.193086624145508, 3, fragile, 9, -2966
31.25278401374817, 4, robuste, -9, -2975
31.837652921676636, 4, robuste, -8, -2983
32.25299954414368, 4, robuste, -8, -2991
32.47459840774536, 4, robuste, -9, -3000
32.475099325180054, 4, robuste, -8, -3008
32.676796674728394, 4, robuste, 9, -2999
32.677212715148926, 4, robuste, -9, -3008
32.9163601398468, 4, robuste, -8, -3016
32.91678047180176, 4, robuste, 8, -3008
33.090415716171265, 4, robuste, 9, -2999
33.09085130691528, 4, robuste, -9, -3008
33.237573862075806, 4, robuste, -8, -3016
33.23806643486023, 4, robuste, -8, -3024
33.415815591812134, 4, robuste, -8, -3032
33.416396617889404, 4, robuste, 9, -3023
33.65408229827881, 4, robuste, 8, -3015
33.654574394226074, 4, robuste, -8, -3023
34.62517261505127, 3, fragile, 9, -3014
34.82121443748474, 3, fragile, -4, -3018
35.35553765296936, 3, fragile, 8, -3010
35.52936816215515, 3, fragile, 8, -3002
35.529786825180054, 3, fragile, 9, -2993
35.71626925468445, 3, fragile, 9, -2984
35.71669793128967, 3, fragile, -4, -2988
36.07239603996277, 3, fragile, -3, -2991
36.263062953948975, 3, fragile, 8, -2983
36.263492584228516, 3, fragile, -4, -2987
36.766263484954834, 3, fragile, 8, -2979
36.99177360534668, 3, fragile, -3, -2982
36.992239475250244, 3, fragile, -3, -2985
37.19922971725464, 3, fragile, 8, -2977
37.19965100288391, 3, fragile, -3, -2980
37.4334659576416, 3, fragile, 8, -2972
37.43397378921509, 3, fragile, 8, -2964
38.0950665473938, 3, fragile, 8, -2956
38.30817222595215, 3, fragile, -4, -2960
38.30860877037048, 3, fragile, -4, -2964
38.484607219696045, 3, fragile, -3, -2967
38.48502016067505, 3, fragile, 9, -2958
39.37798500061035, 3, fragile, 8, -2950
39.57387924194336, 3, fragile, 9, -2941
39.574303150177, 3, fragile, -4, -2945
40.20367741584778, 3, fragile, -3, -2948
40.392634868621826, 3, fragile, -4, -2952
40.39305067062378, 3, fragile, 8, -2944
41.10807991027832, 2, antifragile, -9, -2953
41.33835482597351, 2, antifragile, 3, -2950
41.861079931259155, 2, antifragile, 4, -2946
42.03478169441223, 2, antifragile, -8, -2954
42.03521990776062, 2, antifragile, -9, -2963
42.219162940979004, 2, antifragile, 4, -2959
42.219664573669434, 2, antifragile, 4, -2955
42.40883255004883, 2, antifragile, 4, -2951
42.40927338600159, 2, antifragile, 3, -2948
42.60224175453186, 2, antifragile, -9, -2957
42.60268759727478, 2, antifragile, -8, -2965
43.11009478569031, 2, antifragile, 4, -2961
43.30881953239441, 2, antifragile, 3, -2958
43.30926489830017, 2, antifragile, 3, -2955
43.97681498527527, 1, vulnérable, -4, -2959
44.19155740737915, 1, vulnérable, -3, -2962
44.72171187400818, 1, vulnérable, 3, -2959
45.228403091430664, 1, vulnérable, -3, -2962
45.892927169799805, 1, vulnérable, 4, -2958
46.06886053085327, 1, vulnérable, -4, -2962
46.06950068473816, 1, vulnérable, -3, -2965
46.86985230445862, 1, vulnérable, 3, -2962
47.79825973510742, 3, fragile, -4, -2966
48.63811635971069, 3, fragile, -4, -2970
48.814085960388184, 3, fragile, -4, -2974
48.81471014022827, 3, fragile, 8, -2966
49.021241664886475, 3, fragile, 9, -2957
49.02173686027527, 3, fragile, -3, -2960
49.523470878601074, 3, fragile, 9, -2951
49.70709776878357, 3, fragile, 9, -2942
49.70755577087402, 3, fragile, 9, -2933
49.908493757247925, 3, fragile, 9, -2924
49.90906119346619, 3, fragile, -4, -2928
50.12681746482849, 3, fragile, 8, -2920
50.12731099128723, 3, fragile, -3, -2923
50.55213522911072, 3, fragile, -3, -2926
50.73740339279175, 3, fragile, -4, -2930
50.7378294467926, 3, fragile, -3, -2933
50.91043210029602, 3, fragile, -4, -2937
50.91086006164551, 3, fragile, 8, -2929
51.27243494987488, 3, fragile, 9, -2920
51.490864515304565, 3, fragile, -3, -2923
51.491339921951294, 3, fragile, 9, -2914
51.66193509101868, 3, fragile, 9, -2905
51.662360429763794, 3, fragile, -4, -2909
52.073790073394775, 3, fragile, 9, -2900
52.25397777557373, 3, fragile, 9, -2891
52.25440788269043, 3, fragile, -4, -2895
52.42290759086609, 3, fragile, 9, -2886
52.42335653305054, 3, fragile, -3000, -5886
52.59723424911499, 3, fragile, -4, -5890
52.597782135009766, 3, fragile, -3, -5893
52.764066219329834, 3, fragile, -4, -5897
52.7646222114563, 3, fragile, -4, -5901
52.94075536727905, 3, fragile, -3, -5904
52.94121432304382, 3, fragile, 8, -5896
53.13020968437195, 3, fragile, 8, -5888
53.130629539489746, 3, fragile, -3, -5891
53.309699296951294, 3, fragile, 9, -5882
53.31021213531494, 3, fragile, 9, -5873
53.492568492889404, 3, fragile, 8, -5865
53.4931206703186, 3, fragile, 8, -5857
53.67819929122925, 3, fragile, 9, -5848
53.67867350578308, 3, fragile, 8, -5840
53.86288380622864, 3, fragile, 8, -5832
53.86334300041199, 3, fragile, -3, -5835
54.22896456718445, 3, fragile, -3, -5838
54.229517221450806, 3, fragile, 9, -5829
54.40370750427246, 3, fragile, 9, -5820
54.40413975715637, 3, fragile, -4, -5824
54.59461236000061, 3, fragile, -3, -5827
54.59531569480896, 3, fragile, -4, -5831
54.7656192779541, 3, fragile, 9, -5822
54.766433238983154, 3, fragile, -3, -5825
54.94683051109314, 3, fragile, 9, -5816
54.94733643531799, 3, fragile, -4, -5820
55.11849784851074, 3, fragile, -4, -5824
55.119083881378174, 3, fragile, -4, -5828
55.30773854255676, 3, fragile, -3, -5831
55.308178424835205, 3, fragile, -3, -5834
55.5034863948822, 3, fragile, -4, -5838
55.5039324760437, 3, fragile, 9, -5829
55.68685030937195, 3, fragile, 8, -5821
55.68736505508423, 3, fragile, 9, -5812
55.900304317474365, 3, fragile, -3, -5815
55.90084671974182, 3, fragile, -3, -5818
56.098262786865234, 3, fragile, -4, -5822
56.098928689956665, 3, fragile, -3, -5825
56.290812492370605, 3, fragile, -3, -5828
56.29140830039978, 3, fragile, -4, -5832
56.500892639160156, 3, fragile, -4, -5836
56.50134825706482, 3, fragile, 8, -5828
56.73517894744873, 3, fragile, -4, -5832
56.73560070991516, 3, fragile, -4, -5836
57.2196786403656, 3, fragile, -3, -5839
57.79475164413452, 3, fragile, 8, -5831
58.003556966781616, 3, fragile, 9, -5822
58.00397968292236, 3, fragile, -3, -5825
58.20309019088745, 3, fragile, 8, -5817
58.20360040664673, 3, fragile, -4, -5821
58.42018270492554, 3, fragile, -3, -5824
58.42065453529358, 3, fragile, -4, -5828
58.8622031211853, 3, fragile, -4, -5832
59.067588806152344, 3, fragile, -3, -5835
59.06808519363403, 3, fragile, -3, -5838
59.25863718986511, 3, fragile, 8, -5830
59.25912404060364, 3, fragile, 8, -5822
59.46417236328125, 3, fragile, -3, -5825
59.46505427360535, 3, fragile, -4, -5829
59.96651577949524, 3, fragile, -3, -5832
60.839640617370605, 4, robuste, -9, -5841
61.06287980079651, 4, robuste, 8, -5833
61.260151624679565, 4, robuste, -8, -5841
61.44085240364075, 4, robuste, 8, -5833
61.616602420806885, 4, robuste, 9, -5824
61.79065465927124, 4, robuste, -8, -5832
61.966442346572876, 4, robuste, 9, -5823
62.162906885147095, 4, robuste, -8, -5831
62.33060097694397, 4, robuste, -9, -5840
62.5036358833313, 4, robuste, -8, -5848
62.680020332336426, 4, robuste, -9, -5857
62.84687924385071, 4, robuste, -8, -5865
63.014389514923096, 4, robuste, 8, -5857
63.18309211730957, 4, robuste, -8, -5865
63.34375739097595, 4, robuste, 8, -5857
63.50307369232178, 4, robuste, -9, -5866
63.65765190124512, 4, robuste, -8, -5874
63.8133442401886, 4, robuste, 8, -5866
63.9727463722229, 4, robuste, -8, -5874
64.14938426017761, 4, robuste, -8, -5882
